bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,00548,CPT,1,1033394838,208296241,1,96743,3,16.15,42,42,1,1
1,00918,CPT,1,1033394838,208296241,1,96743,3,4.75,42,42,1,1
1,01210,CPT,1,1033394838,208296241,1,96743,3,5.7,42,42,1,1
1,0241U,CPT,1,1033606629,990149797,1,96819,3,119.9,42,42,1,1
1,10005,CPT,1,1558326629,990157698,1,96817,3,137.79,42,42,1,1
1,10005,CPT,1,1548603574,990157698,1,96817,3,137.79,42,42,1,1
1,10005,CPT,1,1336536036,990157698,1,96817,3,137.79,42,42,1,1
1,10009,CPT,1,1558326629,990157698,1,96817,3,530.92,42,42,1,1
1,10009,CPT,1,1548603574,990157698,1,96817,3,530.92,42,42,1,1
1,10009,CPT,1,1336536036,990157698,1,96817,3,530.92,42,42,1,1
1,10010,CPT,1,1558326629,990157698,1,96817,3,317.99,42,42,1,1
1,10010,CPT,1,1548603574,990157698,1,96817,3,317.99,42,42,1,1
1,10010,CPT,1,1336536036,990157698,1,96817,3,317.99,42,42,1,1
1,10061,CPT,1,1972695690,943404867,1,94115,3,234.95,42,42,1,1
1,10121,CPT,1,1033394838,208296241,1,96743,3,284.89,42,42,1,1
1,11011,CPT,1,1033394838,208296241,1,96743,3,556.32,42,42,1,1
1,11044,CPT,1,1972695690,943404867,1,94115,3,466.1,42,42,1,1
1,11303,CPT,1,1033394838,208296241,1,96743,3,163.82,42,42,1,1
1,11311,CPT,1,1972695690,943404867,1,94115,3,89.55,42,42,1,1
1,11401,CPT,1,1275566424,990148164,1,96792,3,175.2,42,42,1,1
1,11401,CPT,1,1275566424,990148164,1,96792,3,175.2,42,42,1,1
1,11402,CPT,1,1972695690,943404867,1,94115,3,199.0,42,42,1,1
1,11423,CPT,1,1972695690,943404867,1,94115,3,243.1,42,42,1,1
1,11444,CPT,1,1275566424,990148164,1,96792,3,327.31,42,42,1,1
1,11462,CPT,1,1275566424,990148164,1,96792,3,427.92,42,42,1,1
1,11601,CPT,1,1972695690,943404867,1,94115,3,283.75,42,42,1,1
1,11602,CPT,1,1972695690,943404867,1,94115,3,314.0,42,42,1,1
1,11604,CPT,1,1972695690,943404867,1,94115,3,385.0,42,42,1,1
1,11646,CPT,1,1275566424,990148164,1,96792,3,602.47,42,42,1,1
1,11750,CPT,1,1275566424,990148164,1,96792,3,256.67,42,42,1,1
1,11755,CPT,1,1275566424,990148164,1,96792,3,158.79,42,42,1,1
